         1522045 function calls (1512559 primitive calls) in 3.914 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
     3072    0.002    0.000    0.036    0.000 <__array_function__ internals>:2(append)
     1020    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(argsort)
     3075    0.003    0.000    0.021    0.000 <__array_function__ internals>:2(atleast_1d)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
     3074    0.003    0.000    0.094    0.000 <__array_function__ internals>:2(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
    16514    0.008    0.000    0.023    0.000 <__array_function__ internals>:2(can_cast)
     5113    0.003    0.000    0.014    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
     1021    0.001    0.000    0.096    0.000 <__array_function__ internals>:2(cumsum)
     2040    0.001    0.000    0.033    0.000 <__array_function__ internals>:2(diff)
       14    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
     2050    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(lexsort)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(meshgrid)
    18460    0.009    0.000    0.049    0.000 <__array_function__ internals>:2(ndim)
     2050    0.001    0.000    0.008    0.000 <__array_function__ internals>:2(nonzero)
     3072    0.002    0.000    0.011    0.000 <__array_function__ internals>:2(ravel)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(squeeze)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(tile)
     2041    0.002    0.000    0.029    0.000 <__array_function__ internals>:2(unique)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(where)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
   287/90    0.001    0.000    0.152    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      633    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      282    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      282    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
